"","ORF","Long_description","haploids_SR7575_exp1","haploids_SR7575_exp2","avghaplo","rank1","rank2","Gene","SGTC_352","SGTC_513","SGTC_1789","CDC48_YDL126C_tsq209","CDC48_YDL126C_tsq208","RPN4_YDL020C","INO2_YDR123C","SRP101_YDR292C_damp","HAC1_YFL031W","OPI3_YJR073C","PGA3_YML125C_damp","UBC7_YMR022W","YNL181W_YNL181W_damp","4166_8_HOP_0148"
"1","YAL001C","YAL001C TFC3 DAMP Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)",-0.232737943495339,-0.239278818890144,-0.236008381192741,749,625,"TFC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029977040661625
"2","YAL003W","YAL003W EFB1 DAMP Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site",0.0740910786430172,-0.173115816918286,-0.0495123691376344,2817,869,"EFB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","YAL004W","YAL004W  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",-0.308725812241953,-0.20506240419311,-0.256894108217532,559,739,"YAL004W",-1.8955905411216,2.0882518027671,0.233539099476609,NA,0.0057,-0.003784,0.062399,-0.04021,0.023431,-0.004156,-0.034548,-0.049995,0.053453,-1.38741282546634
"4","YAL005C","YAL005C SSA1 DEL ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",-0.152177977700507,-0.393752531238099,-0.272965254469303,1085,359,"SSA1",-0.009216336122456,0.611244300604455,1.58071894542982,NA,0.039555,0.008385,0.031537,-0.003163,0.090091,0.045631,-0.017146,0.014371,0.036634,-1.81522167253528
"5","YAL008W","YAL008W FUN14 DEL Mitochondrial protein of unknown function",-0.149174190796469,0.0317227834821998,-0.0587257036571346,1105,2535,"FUN14",1.4749321971797,-0.000327346703637293,-0.0782028003370269,NA,0.019231,0.020419,-0.026539,0.013586,-0.04177,0.006582,0.050847,0.004675,-0.017039,0.238068429304614
"6","YAL010C","YAL010C MDM10 DEL Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology",-0.776270066686563,-0.127212821142355,-0.451741443914459,194,1142,"MDM10",NA,NA,NA,NA,0.025721,0.124362,0.015562,0.00729,-0.024757,0.166726,0.040084,0.07542,0.01635,1.08571114639593
"7","YAL011W","YAL011W SWC3 DEL Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",-0.366182871210676,-0.179286450816675,-0.272734661013675,467,838,"SWC3",0.234220825957016,-0.418999034866408,-0.230643533207556,NA,0.02093,-0.089177,0.032407,-0.07735,-0.13376,0.039932,-0.106284,0.004764,-0.064799,-3.41994521223792
"8","YAL012W","YAL012W CYS3 DEL Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress",-0.155229983788798,0.0297271285411451,-0.0627514276238264,1063,2515,"CYS3",-3.31104924974444,-11.656329904233,-1.88434934444327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","YAL014C","YAL014C SYN8 DEL Endosomal SNARE related to mammalian syntaxin 8",0.0424213924508457,0.26202075446524,0.152221073458043,2558,4127,"SYN8",0.712629811496506,0.0613152764320824,-0.603462607336967,NA,0.033725,-0.002949,-0.014495,0.031857,0.057855,-0.033795,0.036354,-0.005389,-0.045572,1.78264208525307
"10","YAL015C","YAL015C NTG1 DEL DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication",-0.109680422674478,0.243297499018396,0.066808538171959,1347,4054,"NTG1",-1.56186891023979,-0.283327031789408,-0.215628473633279,NA,0.005682,0.001318,0.004538,-0.058888,0.034616,-0.026006,-0.001949,-0.018432,0.004604,0.00172743809558014
"11","YAL017W","YAL017W PSK1 DEL PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",-0.12492223993347,0.181285101905527,0.0281814309860285,1251,3748,"PSK1",-0.317666423122638,-0.501974278738971,0.729012972898139,NA,-0.013698,0.009622,-0.029359,0.010329,0.026686,0.038867,0.017584,-0.043066,0.017449,0.267603420651283
"12","YAL018C","YAL018C LDS1 DEL Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants",0.167494094769116,0.155943184432258,0.161718639600687,3546,3583,"LDS1",-0.373112337782636,-0.34154967706575,-0.399850546434885,NA,-0.011771,0.005253,0.029514,-0.028167,0.053889,0.053489,0.002654,-0.020767,0.014453,0.114233145333043
"13","YAL019W","YAL019W FUN30 DEL Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate",0.241266408032966,0.321434949334179,0.281350678683572,3945,4331,"FUN30",-0.67461126018602,0.0467140915169075,0.128627359664561,NA,-0.007755,0.02261,-0.010997,0.0956,-0.05477,0.05251,0.009586,-0.000895,0.021213,0.642901025790335
"14","YAL020C","YAL020C ATS1 DEL Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle",1.28507104850174,0.828302144618117,1.05668659655993,4886,4847,"ATS1",1.4012508026648,0.333789445880228,-0.356052823156444,NA,0.025287,0.004621,0.070725,-0.001312,0.04444,0.018152,-0.018572,-0.027118,-0.009016,1.62662937084064
"15","YAL022C","YAL022C FUN26 DEL Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis",-0.0371355794611848,0.312700810056209,0.137782615297512,1918,4299,"FUN26",-0.683111269808023,1.06524739668701,-0.777983890031454,NA,-0.002278,0.005373,-8.4e-05,-0.012539,-0.009955,-0.06669,0.008438,0.000486,-0.009846,0.00694141231824073
"16","YAL023C","YAL023C PMT2 DEL Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",1.04372703999606,0.924227318776546,0.983977179386303,4857,4866,"PMT2",-1.31125173644013,-2.1701405438076,-1.1222790758207,NA,-0.003317,0.018281,-0.034828,-0.013125,-0.760973,-0.004256,-0.018441,0.014822,-0.021723,0.629600743587387
"17","YAL024C","YAL024C LTE1 DEL Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures",0.413408665296745,0.127546759691232,0.270477712493988,4440,3378,"LTE1",-1.98398736695671,-4.51195418655656,0.862872734501062,-0.033748,-0.159388,0.021763,0.042192,-0.024549,-0.05037,NA,0.020484,-0.011326,NA,-0.929789313898335
"18","YAL025C","YAL025C MAK16 DAMP Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus",0.116912149400851,-0.0174598725922535,0.0497261384042988,3174,2016,"MAK16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","YAL026C","YAL026C DRS2 DEL Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease",-1.31666268386794,-2.18564742978334,-1.75115505682564,97,21,"DRS2",-1.23506357024426,0.661245427417508,0.0377232151515881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3887071080747
"20","YAL027W","YAL027W SAW1 DEL 5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus",0.346248358680711,0.417512276354815,0.381880317517763,4302,4553,"SAW1",-0.255695831669985,-0.548764689431357,-0.921095755851482,NA,-0.031001,0.015112,0.047959,0.011743,-0.031059,0.013928,-0.002763,0.012756,0.012562,0.113900021373609
"21","YAL028W","YAL028W FRT2 DEL Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication",0.111400979436656,0.288257492661369,0.199829236049013,3125,4233,"FRT2",-1.42570863462782,0.250641692111547,0.0352748393527492,NA,-0.020198,-0.006095,0.012117,-0.013953,-0.016987,0.047349,-0.001422,0.015613,0.005301,0.0714177545988127
"22","YAL029C","YAL029C MYO4 DEL Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication",-0.111173034540288,-0.006943050599135,-0.0590580425697115,1333,2130,"MYO4",-1.48815768634344,0.749193097135016,-0.0337981390533733,NA,-0.019198,0.022846,0.003284,0.002244,-0.022552,0.001939,-0.0122,0.013936,-0.001335,0.532086449199171
